雀始巣,すずめはじめてすくう,雀が巣を構え始める
桜始開,さくらはじめてひらく,桜の花が咲き始める
雷乃発声,かみなりすなわちこえをはっす,遠くで雷の音がし始める
玄鳥至,つばめきたる,燕が南からやって来る
鴻雁北,こうがんきたへかえる,雁が北へ渡って行く
虹始見,にじはじめてあらわる,雨の後に虹が出始める
葭始生,あしはじめてしょうず,葦が芽を吹き始める
霜止出苗,しもやんでなえいづる,霜が終り稲の苗が生長する
牡丹華,ぼたんはなさく,牡丹の花が咲く
蛙始鳴,かわずはじめてなく,蛙が鳴き始める
蚯蚓出,みみずいづる,蚯蚓が地上に這出る
竹笋生,たけのこしょうず,筍が生えて来る
蚕起食桑,かいこおきてくわをはむ,蚕が桑を盛んに食べ始める
紅花栄,べにばなさかう,紅花が盛んに咲く
麦秋至,むぎのときいたる,麦が熟し麦秋となる
螳螂生,かまきりしょうず,螳螂が生まれ出る
腐草為蛍,くされたるくさほたるとなる,腐った草が蒸れ蛍になる
梅子黄,うめのみきばむ,梅の実が黄ばんで熟す
乃東枯,なつかれくさかるる,夏枯草が枯れる
菖蒲華,あやめはなさく,あやめの花が咲く
半夏生,はんげしょうず,烏柄杓が生える
温風至,あつかぜいたる,暖い風が吹いて来る
蓮始開,はすはじめてひらく,蓮の花が開き始める
鷹乃学習,たかすなわちわざをなす,鷹の幼鳥が飛ぶことを覚える
桐始結花,きりはじめてはなをむすぶ,桐の実が生り始める
土潤溽暑,つちうるおうてむしあつし,土が湿って蒸暑くなる
大雨時行,たいうときどきにふる,時として大雨が降る
涼風至,すづかぜいたる,涼しい風が立ち始める
寒蝉鳴,ひぐらしなく,蜩が鳴き始める
蒙霧升降,ふかききりまとう,深い霧が立ち込める
綿柎開,わたのはなしべひらく,綿を包む萼（がく）が開く
天地始粛,てんちはじめてさむし,ようやく暑さが鎮まる
禾乃登,こくものすなわちみのる,稲が実る
草露白,くさのつゆしろし,草に降りた露が白く光る
鶺鴒鳴,せきれいなく,鶺鴒（せきれい）が鳴き始める
玄鳥去,つばめさる,燕が南へ帰って行く
雷乃収声,かみなりすなわちこえをおさむ,雷が鳴り響かなくなる
蟄虫坏戸,むしかくれてとをふさぐ,虫が土中に掘った穴をふさぐ
水始涸,みずはじめてかる,田畑の水を干し始める
鴻雁来,こうがんきたる,雁が飛来し始める
菊花開,きくのはなひらく,菊の花が咲く
蟋蟀在戸,きりぎりすとにあり,蟋蟀が戸の辺りで鳴く
霜始降,しもはじめてふる,霜が降り始める
霎時施,こさめときどきふる,小雨がしとしと降る
楓蔦黄,もみじつたきばむ,もみじや蔦が黄葉する
山茶始開,つばきはじめてひらく,山茶花が咲き始める
地始凍,ちはじめてこおる,大地が凍り始める
金盞香,きんせんかさく,水仙の花が咲く
虹蔵不見,にじかくれてみえず,虹を見かけなくなる
朔風払葉,きたかぜこのはをはらう,北風が木の葉を払い除ける
橘始黄,たちばなはじめてきばむ,橘の実が黄色くなり始める
閉塞成冬,そらさむくふゆとなる,天地の気が塞がって冬となる
熊蟄穴,くまあなにこもる,熊が冬眠のために穴に隠れる
鱖魚群,さけのうおむらがる,鮭が群がり川を上る
乃東生,なつかれくさしょうず,夏枯草が芽を出す
麋角解,おおしかのつのおつる,大鹿が角を落とす
雪下出麦,ゆきわたりてむぎいづる,雪の下で麦が芽を出す
芹乃栄,せりすなわちさかう,芹がよく生育する
水泉動,しみずあたたかをふくむ,地中で凍った泉が動き始める
雉始雊,きじはじめてなく,雄の雉が鳴き始める
款冬華,ふきのはなさく,蕗の薹（ふきのとう）が蕾を出す
水沢腹堅,さわみずこおりつめる,沢に氷が厚く張りつめる
鶏始乳,にわとりはじめてとやにつく,鶏が卵を産み始める
東風解凍,こちこおりをとく,東風が厚い氷を解かし始める
黄鶯睍睆,うぐいすなく,鶯が山里で鳴き始める
魚上氷,うおこおりをいずる,割れた氷の間から魚が飛び出る
土脉潤起,つちのしょううるおいおこる,雨が降って土が湿り気を含む
霞始靆,かすみはじめてたなびく,霞がたなびき始める
草木萌動,そうもくめばえいずる,草木が芽吹き始める
蟄虫啓戸,すごもりむしとをひらく,冬蘢りの虫が出て来る
桃始笑,ももはじめてさく,桃の花が咲き始める
菜虫化蝶,なむしちょうとなる,青虫が羽化して紋白蝶になる
